population	n_pop	k_folded	count
afr	33480	933	0
afr	33480	934	0
afr	33480	935	0
afr	33480	936	0
afr	33480	937	0
afr	33480	938	0
afr	33480	939	0
afr	33480	940	0
afr	33480	941	0
afr	33480	942	1
afr	33480	943	0
afr	33480	944	0
afr	33480	945	0
afr	33480	946	0
afr	33480	947	0
afr	33480	948	0
afr	33480	949	0
afr	33480	950	0
afr	33480	951	0
afr	33480	952	0
afr	33480	953	0
afr	33480	954	0
afr	33480	955	0
afr	33480	956	0
afr	33480	957	0
afr	33480	958	0
afr	33480	959	0
afr	33480	960	0
afr	33480	961	0
afr	33480	962	0
afr	33480	963	0
afr	33480	964	0
afr	33480	965	0
afr	33480	966	0
afr	33480	967	0
afr	33480	968	0
afr	33480	969	0
afr	33480	970	0
afr	33480	971	0
afr	33480	972	0
afr	33480	973	0
afr	33480	974	0
afr	33480	975	0
afr	33480	976	0
afr	33480	977	0
afr	33480	978	0
afr	33480	979	0
afr	33480	980	0
afr	33480	981	0
afr	33480	982	0
afr	33480	983	0
afr	33480	984	0
afr	33480	985	0
afr	33480	986	0
afr	33480	987	1
afr	33480	988	0
afr	33480	989	0
afr	33480	990	0
afr	33480	991	0
afr	33480	992	0
afr	33480	993	0
afr	33480	994	0
afr	33480	995	0
afr	33480	996	0
afr	33480	997	0
afr	33480	998	0
afr	33480	999	0
afr	33480	1000	0
afr	33480	1001	0
afr	33480	1002	0
afr	33480	1003	0
afr	33480	1004	0
afr	33480	1005	0
afr	33480	1006	0
afr	33480	1007	0
afr	33480	1008	0
afr	33480	1009	0
afr	33480	1010	0
afr	33480	1011	0
afr	33480	1012	0
afr	33480	1013	0
afr	33480	1014	0
afr	33480	1015	0
afr	33480	1016	0
afr	33480	1017	0
afr	33480	1018	0
afr	33480	1019	0
afr	33480	1020	0
afr	33480	1021	0
afr	33480	1022	0
afr	33480	1023	0
afr	33480	1024	0
afr	33480	1025	0
afr	33480	1026	0
afr	33480	1027	0
afr	33480	1028	0
afr	33480	1029	0
afr	33480	1030	0
afr	33480	1031	0
afr	33480	1032	0
afr	33480	1033	0
afr	33480	1034	0
afr	33480	1035	0
afr	33480	1036	0
afr	33480	1037	0
afr	33480	1038	0
afr	33480	1039	0
afr	33480	1040	0
afr	33480	1041	0
afr	33480	1042	0
afr	33480	1043	0
afr	33480	1044	0
